type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-19,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,336933,0,28,0,0,0.520486,128,[28 -64 1 0 0 0 0 0 0 0 0 0 23 -9 23 -8 24 -8 25 -8 24 -6 24 -6 24 -5 23 -4 24 -4 23 -4 25 -3 25 -3 24 -2 24 -3 22 -3 25 -3 23 -2 21 -3 22 -2 22 -2 21 -2 21 -3 19 -2 22 -3 22 -3 22 -2 0 0 21 -4 22 -4 22 -5 20 -6 20 -5 21 -5 20 -5 20 -6 19 -7 20 -5 21 -7 19 -6 20 -8 20 -7 20 -7 21 -8 21 -9 20 -9 20 -8 20 -9 21 -9 19 -10 20 -9 21 -10 20 -10 20 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-19,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,345232,0,157,0,0,0.528104,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 4 -26 4 -24 5 -27 6 -25 7 -26 6 -23 8 -24 8 -23 8 -24 9 -23 10 -24 10 -24 10 -23 10 -23 9 -20 10 -24 10 -21 9 -21 9 -20 9 -20 9 -20 9 -21 8 -19 9 -21 9 -21 9 -20 0 0 7 -21 8 -22 7 -21 6 -22 5 -20 6 -21 5 -21 5 -21 4 -21 5 -21 5 -22 4 -20 3 -22 4 -21 4 -22 3 -22 3 -24 3 -22 3 -22 2 -23 2 -23 1 -23 2 -24 2 -24 1 -23 1 -23 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-18,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,358718,0,135,0,0,0.54197,128,[-121 112 8 0 0 0 0 0 0 0 0 0 11 1 11 2 11 2 11 3 11 3 10 3 10 3 10 3 10 4 10 3 10 4 11 4 10 4 10 4 9 4 10 5 9 4 9 4 9 4 9 4 8 4 9 4 8 3 9 4 9 4 9 4 0 0 9 3 9 3 9 3 9 2 9 2 9 2 9 2 9 2 9 1 8 2 9 2 9 1 9 1 9 2 9 1 10 1 10 1 10 1 10 1 9 1 10 1 9 0 10 0 10 0 9 0 10 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-28,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,369927,0,390,0,0,0.552922,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -11 13 -11 12 -12 13 -12 11 -13 12 -12 11 -13 11 -13 11 -13 10 -14 9 -14 10 -15 10 -14 8 -14 9 -13 8 -14 9 -14 8 -14 8 -13 8 -13 8 -13 8 -13 8 -13 8 -13 7 -13 7 -12 9 0 0 -12 9 -12 9 -12 8 -11 10 -11 8 -11 9 -11 9 -10 9 -11 10 -11 10 -11 10 -10 10 -10 10 -10 10 -10 11 -9 11 -10 11 -9 12 -9 12 -8 13 -9 12 -8 12 -9 12 -9 13 -9 12 -8 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-28,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,391948,0,390,0,0,0.574869,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -14 -11 -13 -11 -14 -11 -13 -11 -13 -12 -12 -12 -12 -13 -11 -13 -11 -13 -11 -13 -11 -14 -11 -14 -10 -14 -10 -14 -9 -13 -10 -14 -9 -13 -10 -14 -9 -13 -9 -13 -8 -13 -9 -13 -9 -13 -8 -12 -9 -13 -9 -13 0 0 -9 -13 -9 -12 -8 -11 -10 -12 -9 -11 -9 -11 -10 -11 -10 -11 -10 -11 -11 -11 -11 -11 -9 -10 -10 -11 -10 -10 -12 -11 -11 -10 -11 -11 -12 -10 -12 -10 -13 -10 -12 -10 -12 -9 -13 -10 -12 -10 -13 -10 -13 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-28,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,410037,0,82,0,0,0.592879,384,[82 -96 4 0 0 0 0 0 0 0 0 0 16 1 16 2 16 2 16 3 15 3 15 3 16 4 15 4 15 4 15 5 15 5 15 6 15 5 14 6 13 5 15 6 14 5 14 6 13 6 13 5 13 6 13 5 13 6 13 5 13 6 13 5 0 0 13 5 13 5 13 4 13 3 12 4 13 4 13 4 13 3 13 3 13 3 13 2 13 2 13 2 13 2 14 2 14 1 14 1 14 1 14 1 14 0 15 1 14 1 15 0 15 0 15 0 15 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-28,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,674213,0,82,0,0,0.85714,384,[82 -96 4 0 0 0 0 0 0 0 0 0 9 -15 8 -14 9 -15 10 -14 10 -14 10 -12 11 -13 11 -12 11 -13 11 -12 12 -12 12 -12 12 -10 12 -11 11 -10 12 -12 11 -10 12 -10 11 -10 12 -10 11 -10 11 -10 11 -10 11 -9 12 -9 11 -10 0 0 11 -10 10 -10 10 -10 10 -11 9 -10 10 -10 10 -10 9 -10 9 -11 9 -12 9 -12 9 -10 8 -11 9 -11 8 -12 8 -12 9 -12 8 -13 8 -13 7 -13 8 -13 7 -13 8 -13 8 -14 8 -13 8 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-28,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,870197,0,82,0,0,1.05311,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -15 -8 -15 -9 -15 -8 -15 -10 -14 -10 -14 -10 -14 -11 -13 -11 -13 -11 -13 -11 -13 -11 -13 -12 -12 -12 -12 -12 -11 -11 -12 -12 -11 -12 -11 -11 -11 -11 -11 -11 -11 -11 -11 -11 -11 -11 -10 -11 -11 -11 -11 -11 0 0 -12 -11 -11 -10 -11 -10 -12 -10 -11 -9 -11 -10 -12 -9 -12 -8 -12 -9 -12 -8 -13 -9 -12 -8 -12 -8 -12 -8 -13 -8 -13 -8 -13 -7 -14 -7 -14 -7 -14 -7 -14 -7 -14 -7 -14 -7 -15 -6 -15 -7 -15 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1369175,0,82,0,0,1.55212,384,[82 -96 4 0 0 0 0 0 0 0 0 0 0 16 -1 16 -1 16 -2 16 -2 16 -3 16 -3 16 -3 15 -4 16 -4 15 -4 16 -5 16 -4 15 -5 15 -5 14 -5 15 -5 15 -4 14 -4 14 -5 13 -5 13 -5 13 -5 13 -4 13 -4 13 -4 14 0 0 -4 13 -3 13 -3 13 -3 13 -3 13 -3 13 -3 13 -2 13 -2 14 -1 13 -1 14 -1 13 0 13 0 14 0 14 0 14 0 14 1 14 1 14 1 14 1 14 1 14 1 14 2 15 2 15 2 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-35,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1673988,0,82,0,0,1.85692,384,[82 -96 4 0 0 0 0 0 0 0 0 0 8 14 8 14 8 14 7 14 7 14 6 15 6 15 6 15 5 15 5 14 5 15 5 16 4 15 4 15 3 14 3 15 3 15 4 14 3 14 3 14 3 13 3 13 3 14 3 13 3 13 4 14 0 0 4 13 4 13 4 13 4 13 4 12 4 12 5 12 5 12 5 13 6 12 7 13 6 11 6 12 7 12 7 12 7 12 7 12 8 12 8 13 8 12 8 12 8 11 8 11 9 11 9 12 9 11 0 0 0 0 0 0 0 0 0 0 ]
