type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-18,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1092783,0,28,0,0,1.27623,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -21 -10 -19 -10 -22 -12 -20 -11 -22 -12 -18 -11 -20 -13 -17 -14 -19 -13 -19 -15 -19 -15 -19 -15 -18 -15 -18 -14 -15 -13 -19 -15 -16 -13 -17 -13 -15 -12 -16 -13 -15 -13 -16 -13 -15 -13 -16 -13 -17 -13 -15 -13 0 0 -16 -12 -18 -12 -16 -10 -19 -11 -16 -9 -17 -11 -17 -10 -16 -10 -18 -9 -18 -10 -19 -9 -17 -8 -18 -7 -16 -9 -20 -8 -18 -7 -22 -8 -18 -7 -19 -8 -19 -7 -19 -8 -20 -6 -21 -7 -21 -6 -20 -5 -19 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-17,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1096663,0,157,0,0,1.28353,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 -3 -23 -3 -23 -2 -24 -1 -25 0 -23 0 -23 1 -23 2 -22 2 -23 2 -22 2 -24 2 -24 3 -23 2 -23 3 -21 3 -23 3 -22 2 -20 3 -21 3 -21 3 -20 3 -21 2 -18 2 -20 2 -21 3 -21 0 0 1 -21 1 -20 1 -22 0 -20 0 -20 0 -21 0 -20 0 -19 -1 -20 0 -19 -1 -21 -2 -19 -3 -20 -2 -20 -2 -20 -2 -21 -3 -21 -3 -21 -3 -21 -4 -20 -3 -20 -4 -20 -4 -20 -5 -21 -6 -20 -6 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-17,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1116932,0,135,0,0,1.30015,128,[-121 112 8 0 0 0 0 0 0 0 0 0 3 25 3 24 2 26 2 26 1 26 0 24 0 25 -2 24 -2 25 -2 25 -3 26 -3 26 -4 25 -3 24 -3 22 -4 26 -4 23 -3 22 -3 22 -4 22 -4 21 -4 22 -3 21 -3 22 -3 23 -4 22 0 0 -2 22 -2 23 -2 22 0 22 0 20 0 22 -1 22 0 21 1 21 -1 21 0 23 1 20 2 21 1 21 1 22 1 22 3 24 3 21 3 22 3 22 3 22 4 22 4 22 4 23 5 21 5 21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-27,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1128204,0,390,0,0,1.31113,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -12 -10 -11 -11 -11 -11 -11 -12 -11 -12 -10 -11 -10 -12 -9 -12 -9 -13 -9 -12 -9 -13 -9 -13 -9 -13 -9 -13 -8 -13 -8 -13 -7 -13 -7 -12 -8 -13 -7 -13 -7 -13 -7 -13 -7 -12 -7 -12 -8 -12 -7 -12 0 0 -7 -12 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -9 -10 -10 -10 -9 -9 -10 -10 -10 -9 -10 -10 -10 -10 -10 -9 -10 -9 -10 -9 -11 -9 -10 -9 -11 -9 -11 -9 -12 -8 -12 -9 -11 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-33,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1153727,0,390,0,0,1.33664,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 4 16 3 15 3 16 2 16 2 16 1 15 1 16 1 16 0 16 0 16 -1 16 -1 16 -2 16 -2 16 -1 15 -2 16 -2 15 -1 15 -2 14 -2 14 -1 14 -1 14 -2 14 -2 14 -2 14 -2 14 0 0 -1 14 -1 14 -1 14 -1 14 -1 13 0 13 0 13 0 13 0 14 1 14 1 14 0 13 1 14 2 13 2 14 2 14 2 14 3 13 3 14 3 14 3 14 3 14 3 14 4 14 3 14 4 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1175841,0,82,0,0,1.35864,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -9 13 -9 13 -10 13 -10 13 -11 13 -11 12 -11 12 -11 11 -12 11 -12 11 -12 11 -12 11 -12 10 -13 10 -12 10 -13 10 -12 10 -12 10 -12 10 -12 9 -12 9 -12 9 -11 9 -12 9 -12 9 -11 9 0 0 -11 9 -11 10 -11 10 -10 10 -10 9 -10 9 -10 10 -10 9 -9 10 -9 11 -9 11 -9 11 -9 11 -9 11 -8 11 -8 12 -8 12 -8 12 -8 12 -7 12 -8 12 -8 13 -8 13 -7 13 -7 13 -7 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-27,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1430036,0,82,0,0,1.61289,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -9 -14 -8 -14 -9 -15 -8 -15 -8 -16 -6 -15 -7 -16 -6 -16 -6 -16 -6 -16 -5 -17 -5 -17 -5 -17 -5 -17 -4 -16 -4 -17 -4 -15 -4 -16 -4 -15 -3 -16 -3 -15 -3 -16 -4 -15 -3 -15 -3 -15 -4 -15 0 0 -4 -15 -4 -15 -4 -14 -4 -15 -4 -14 -5 -14 -5 -14 -5 -14 -5 -14 -6 -14 -5 -14 -6 -13 -6 -14 -6 -13 -6 -14 -6 -13 -7 -14 -7 -13 -7 -14 -8 -13 -8 -13 -8 -13 -8 -14 -8 -14 -8 -13 -8 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1626856,0,82,0,0,1.80971,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -16 -9 -16 -10 -16 -11 -16 -11 -15 -11 -15 -12 -14 -13 -14 -13 -14 -13 -14 -13 -14 -13 -13 -14 -14 -14 -13 -14 -13 -13 -12 -14 -12 -14 -12 -13 -12 -14 -12 -13 -12 -13 -11 -13 -11 -13 -12 -13 -11 -13 -12 -13 0 0 -12 -12 -12 -11 -12 -12 -12 -11 -12 -12 -12 -11 -12 -11 -12 -11 -12 -11 -13 -10 -13 -10 -13 -10 -13 -9 -14 -9 -13 -9 -15 -10 -15 -9 -15 -9 -15 -9 -15 -8 -15 -9 -15 -9 -15 -8 -16 -8 -15 -9 -16 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-27,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2127132,0,82,0,0,2.31003,384,[82 -96 4 0 0 0 0 0 0 0 0 0 16 -2 14 -2 17 -2 15 -1 17 -1 14 -1 16 0 15 1 16 1 17 2 16 2 16 2 16 2 16 2 13 3 17 2 14 1 16 2 14 2 15 3 14 3 15 2 15 3 14 3 14 3 14 2 0 0 13 2 15 1 12 1 15 1 13 1 14 1 14 1 14 1 13 0 15 -1 14 -1 13 -1 14 -1 13 -1 15 -3 12 -3 16 -2 13 -3 14 -3 14 -3 14 -2 14 -3 15 -3 15 -4 14 -4 14 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-33,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2429936,0,82,0,0,2.61293,384,[82 -96 4 0 0 0 0 0 0 0 0 0 4 15 4 15 4 16 4 16 3 16 2 16 2 16 1 15 2 16 1 16 0 16 0 16 0 16 0 16 0 15 0 16 -1 15 0 15 0 15 0 15 0 14 0 15 -1 14 -1 15 -1 15 -1 14 0 0 0 14 1 14 1 14 1 14 1 13 2 14 2 14 2 13 2 14 2 13 2 14 3 13 3 14 4 13 4 14 4 13 4 14 5 13 5 13 5 13 5 13 6 13 6 14 6 14 5 14 6 13 0 0 0 0 0 0 0 0 0 0 ]
