type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-19,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1620687,0,28,0,0,1.80334,128,[28 -64 1 0 0 0 0 0 0 0 0 0 10 -4 10 -4 11 -3 11 -3 11 -2 10 -2 11 -2 10 -2 11 -1 10 -2 11 -2 11 -2 11 -2 10 -1 10 -1 11 -1 10 -1 9 -1 9 -1 10 -1 9 0 9 -1 9 -1 9 -1 10 -1 9 -1 0 0 9 -1 10 -1 10 -1 9 -2 9 -2 9 -2 9 -2 8 -2 9 -2 8 -2 9 -2 8 -3 9 -3 9 -2 9 -3 9 -3 9 -3 8 -3 9 -3 8 -4 9 -3 8 -3 8 -4 9 -4 8 -4 8 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-19,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1625864,0,157,0,0,1.80954,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 1 -24 2 -26 2 -25 3 -27 4 -24 5 -25 5 -24 6 -23 6 -24 5 -22 6 -25 6 -25 7 -24 6 -23 7 -22 7 -23 7 -23 5 -20 6 -22 7 -21 7 -20 7 -21 5 -18 5 -21 5 -22 6 -22 0 0 5 -21 5 -21 4 -23 3 -21 3 -21 3 -22 4 -21 3 -20 2 -21 2 -19 2 -22 1 -20 0 -21 1 -21 1 -20 1 -23 0 -22 0 -22 1 -22 -1 -21 0 -22 -1 -21 -1 -21 -2 -22 -3 -21 -3 -21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-19,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1643134,0,135,0,0,1.8255,128,[-121 112 8 0 0 0 0 0 0 0 0 0 8 -9 7 -9 8 -9 9 -9 8 -8 8 -7 9 -7 8 -7 9 -7 8 -7 9 -7 10 -7 9 -6 9 -6 8 -6 9 -6 9 -6 8 -5 8 -6 8 -6 8 -5 8 -5 7 -5 8 -6 8 -6 8 -6 0 0 8 -6 8 -6 8 -6 7 -6 7 -6 7 -7 7 -6 7 -6 7 -7 7 -6 7 -6 6 -6 7 -7 7 -7 7 -7 7 -7 7 -8 6 -7 6 -7 6 -8 6 -7 6 -7 6 -7 6 -8 6 -8 6 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1655134,0,390,0,0,1.83736,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 5 -8 5 -8 6 -8 6 -8 6 -7 6 -7 6 -7 6 -7 6 -7 6 -6 7 -7 7 -7 7 -6 7 -6 6 -6 7 -6 7 -6 6 -6 6 -5 6 -5 6 -5 6 -5 6 -6 6 -5 6 -5 6 -6 0 0 6 -6 6 -6 6 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 4 -6 5 -6 5 -6 5 -6 4 -6 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 3 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-35,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1674431,0,390,0,0,1.85642,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -7 -18 -6 -18 -6 -17 -5 -18 -5 -18 -4 -18 -3 -18 -3 -18 -3 -18 -3 -17 -3 -18 -2 -18 -2 -18 -2 -17 -2 -17 -1 -17 -1 -17 -2 -17 -1 -17 -1 -16 -1 -16 -1 -17 -1 -16 -2 -16 -1 -16 -1 -16 0 0 -2 -16 -2 -15 -2 -16 -3 -15 -2 -15 -3 -15 -3 -15 -3 -15 -3 -15 -4 -14 -4 -15 -5 -14 -5 -14 -5 -14 -5 -14 -6 -15 -6 -14 -6 -14 -6 -14 -7 -14 -7 -15 -7 -14 -7 -14 -7 -14 -7 -15 -7 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-35,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1678032,0,390,0,0,1.86274,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 3 8 2 9 2 9 2 9 2 9 1 9 1 9 1 9 1 9 1 9 0 9 0 9 0 9 0 8 0 8 0 9 0 9 0 8 0 8 0 8 0 8 0 8 0 8 -1 8 0 8 0 8 0 0 0 8 0 7 0 8 0 7 0 7 1 7 1 7 1 7 1 7 1 7 1 7 1 7 1 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 3 7 2 7 3 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-35,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1698694,0,82,0,0,1.88065,384,[82 -96 4 0 0 0 0 0 0 0 0 0 6 -7 7 -7 7 -7 8 -6 7 -6 8 -6 7 -6 7 -5 8 -5 7 -5 8 -5 8 -5 8 -4 8 -4 8 -4 7 -4 8 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 7 -4 0 0 7 -4 7 -4 7 -4 6 -4 6 -4 6 -4 6 -4 6 -5 6 -5 5 -5 6 -5 6 -5 6 -5 6 -5 5 -5 5 -6 5 -5 6 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-35,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1952605,0,82,0,0,2.13467,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -6 -17 -6 -18 -6 -18 -5 -18 -4 -18 -4 -18 -3 -18 -2 -18 -2 -18 -2 -17 -2 -18 -2 -18 -1 -18 -1 -18 -1 -17 -1 -18 -1 -17 -1 -17 0 -17 0 -16 0 -16 0 -16 0 -16 0 -16 -1 -16 -1 -17 0 0 -1 -16 -1 -15 -1 -16 -1 -15 -1 -15 -1 -15 -1 -16 -2 -15 -2 -15 -3 -15 -3 -16 -3 -14 -3 -15 -3 -15 -3 -15 -4 -15 -4 -15 -5 -15 -4 -15 -5 -15 -5 -15 -5 -15 -5 -14 -6 -15 -6 -15 -6 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1955696,0,82,0,0,2.14095,384,[82 -96 4 0 0 0 0 0 0 0 0 0 7 -6 7 -6 7 -6 8 -5 8 -5 8 -5 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 8 -2 8 -3 7 -3 7 -3 7 -3 7 -3 0 0 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 6 -4 6 -4 6 -4 6 -4 7 -4 6 -4 6 -4 6 -4 6 -5 6 -4 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2157769,0,82,0,0,2.33982,384,[82 -96 4 0 0 0 0 0 0 0 0 0 6 -8 6 -7 6 -7 7 -7 7 -7 7 -6 7 -6 7 -6 7 -6 7 -5 7 -6 7 -6 7 -5 7 -5 7 -5 7 -5 7 -5 7 -5 7 -5 7 -5 7 -5 7 -5 6 -5 7 -5 7 -4 7 -5 0 0 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 6 -5 5 -5 5 -6 5 -6 5 -6 5 -5 5 -5 5 -6 5 -6 5 -6 5 -6 5 -7 5 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 0 0 0 0 0 0 0 0 0 0 ]
