type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-17,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,73511,0,28,0,0,0.256938,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -21 -10 -21 -11 -22 -12 -22 -13 -20 -13 -19 -13 -20 -14 -18 -13 -19 -14 -18 -14 -19 -16 -19 -16 -18 -16 -18 -16 -17 -15 -18 -16 -17 -15 -16 -14 -16 -14 -16 -14 -16 -14 -16 -15 -15 -13 -16 -15 -17 -15 -16 -15 0 0 -17 -13 -17 -14 -17 -14 -17 -13 -16 -12 -17 -13 -17 -12 -16 -12 -17 -11 -16 -12 -18 -13 -17 -11 -18 -10 -17 -11 -18 -11 -19 -12 -19 -11 -19 -10 -19 -10 -19 -9 -19 -10 -19 -9 -19 -10 -20 -10 -19 -9 -19 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-17,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,86929,0,157,0,0,0.269701,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 7 -11 8 -11 8 -11 9 -11 9 -10 9 -10 9 -10 9 -9 10 -10 9 -9 10 -10 10 -10 10 -10 10 -9 10 -9 11 -9 10 -9 9 -8 9 -8 9 -8 9 -8 9 -8 8 -8 9 -8 10 -9 9 -8 0 0 9 -8 9 -8 9 -9 8 -9 8 -9 8 -9 8 -9 7 -9 8 -9 7 -9 8 -10 7 -9 7 -10 8 -10 7 -9 8 -10 8 -10 7 -10 7 -10 6 -10 7 -10 7 -10 6 -10 6 -11 6 -11 6 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-17,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,104076,0,135,0,0,0.287239,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -14 -3 -14 -3 -14 -4 -14 -4 -14 -5 -13 -5 -13 -5 -13 -5 -13 -6 -13 -6 -14 -6 -14 -6 -13 -7 -13 -6 -12 -6 -13 -7 -12 -6 -12 -6 -12 -6 -12 -6 -11 -6 -12 -6 -11 -6 -12 -6 -12 -6 -12 -6 0 0 -12 -5 -12 -5 -12 -5 -12 -4 -11 -4 -12 -4 -12 -4 -11 -4 -12 -3 -11 -4 -13 -4 -11 -3 -12 -3 -12 -3 -12 -3 -13 -3 -13 -3 -12 -2 -13 -3 -13 -2 -13 -2 -13 -2 -13 -2 -13 -2 -12 -1 -13 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-33,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,119139,0,390,0,0,0.302238,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 3 15 3 16 3 16 2 17 2 16 1 16 1 16 1 16 0 16 0 16 0 17 0 17 -1 17 -1 16 -1 16 -2 17 -1 16 -2 15 -1 16 -2 15 -2 15 -2 15 -2 15 -2 15 -2 15 -1 15 0 0 -1 15 -1 15 -1 15 0 14 -1 14 0 14 0 14 0 14 0 14 1 14 1 14 1 14 2 14 2 14 2 14 2 15 3 14 3 15 3 15 3 14 3 14 3 15 3 15 5 15 4 15 4 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-26,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,121480,0,390,0,0,0.307855,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -13 10 -14 10 -15 10 -15 10 -15 9 -15 8 -15 8 -14 8 -15 8 -16 7 -16 7 -16 7 -17 7 -17 6 -16 6 -16 6 -16 5 -15 5 -16 6 -15 6 -16 6 -16 6 -15 5 -15 5 -16 5 -15 5 0 0 -15 5 -14 6 -14 6 -14 6 -14 6 -14 6 -14 6 -13 7 -13 7 -13 7 -14 7 -13 7 -13 7 -13 8 -13 8 -13 8 -13 9 -13 9 -12 9 -12 10 -13 9 -13 10 -13 10 -13 10 -12 9 -12 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-27,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,148011,0,390,0,0,0.330812,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 15 -1 14 0 15 0 15 0 15 1 14 1 14 1 14 1 14 2 15 2 15 2 15 3 15 3 14 3 14 3 15 4 14 4 13 4 14 3 13 3 13 3 13 3 13 3 13 3 14 4 13 3 0 0 13 3 13 3 13 3 13 3 13 2 13 2 13 2 13 1 13 1 12 0 13 1 12 0 13 1 13 0 13 0 13 0 13 -1 13 -1 14 -1 13 -1 14 -1 13 -1 14 -2 14 -2 14 -2 13 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-27,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,171230,0,82,0,0,0.353985,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -6 13 -7 13 -8 13 -8 13 -9 13 -9 12 -9 12 -9 12 -9 12 -10 12 -10 12 -11 11 -11 11 -11 11 -11 11 -11 11 -11 10 -10 10 -11 11 -11 10 -11 10 -10 10 -10 9 -11 10 -10 10 -10 10 0 0 -10 9 -10 10 -9 10 -9 10 -10 10 -9 10 -9 10 -9 10 -8 10 -8 10 -8 11 -8 11 -8 11 -8 11 -7 11 -7 11 -7 12 -7 12 -7 12 -6 12 -7 12 -7 12 -6 12 -7 13 -6 12 -6 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-33,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,614687,0,82,0,0,0.797518,384,[82 -96 4 0 0 0 0 0 0 0 0 0 8 14 7 14 7 15 6 15 6 15 5 15 5 15 4 15 4 16 4 16 4 16 3 16 3 17 3 16 3 16 3 16 2 15 2 15 2 15 2 15 2 15 2 15 1 15 2 15 2 15 2 15 0 0 2 15 2 15 3 15 3 14 2 14 3 14 3 14 3 14 3 14 3 13 4 14 4 13 4 13 5 13 5 13 5 13 5 14 6 14 6 14 6 13 6 14 6 14 6 14 7 14 7 14 7 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-33,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,792231,0,82,0,0,0.975058,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -13 10 -13 10 -15 10 -15 9 -15 9 -14 8 -15 7 -15 7 -15 7 -16 7 -16 7 -16 7 -16 6 -16 6 -16 6 -16 5 -15 5 -15 5 -16 5 -15 5 -15 5 -15 5 -15 5 -15 5 -15 5 -15 5 0 0 -14 5 -15 5 -14 5 -14 6 -14 5 -14 5 -14 5 -14 6 -14 6 -13 7 -13 7 -13 7 -13 8 -13 7 -13 7 -13 8 -13 8 -12 8 -13 8 -13 8 -13 9 -13 9 -13 9 -13 10 -12 10 -12 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-33,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1116366,0,82,0,0,1.29944,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -20 11 -20 10 -22 10 -22 9 -22 9 -22 8 -22 7 -22 7 -22 7 -23 6 -23 6 -23 6 -24 5 -23 5 -22 4 -23 5 -22 4 -21 5 -22 4 -23 4 -22 4 -22 4 -21 4 -21 4 -21 4 -21 5 0 0 -20 5 -20 5 -20 5 -19 6 -20 6 -20 6 -19 6 -19 7 -19 7 -19 8 -18 8 -18 8 -19 9 -19 9 -18 10 -18 10 -18 11 -18 11 -19 11 -18 11 -18 11 -18 12 -18 12 -18 14 -18 12 -18 13 0 0 0 0 0 0 0 0 0 0 ]
